Layout, Timestamp, Words, word len 0, word len 1, word len 2, word len 3, word len 4, target word, target word len,correct, history, gaze duration, tap duration
COLUMN,5:20:28 PM,effect	art	loss			,6,3,4,0,0,art,3,T,1,287.232,340.102
COLUMN,5:20:31 PM,thousand	discuss	threat			,8,7,6,0,0,thousand,8,T,0,-2796.668,3267.409
COLUMN,5:20:35 PM,security	personal	need	animal		,8,8,4,6,0,need,4,T,3,591.816,337.116
COLUMN,5:20:39 PM,event					,5,0,0,0,0,event,5,T,2,-2088.730,2480.683
COLUMN,5:20:42 PM,continue	everything	indicate			,8,10,8,0,0,everything,10,T,6,861.803,348.849
COLUMN,5:20:46 PM,buy	up	foot	trial		,3,2,4,5,0,up,2,F,6,659.237,14.961
COLUMN,5:20:50 PM,century	last	mouth			,7,4,5,0,0,last,4,T,11,279.521,282.812
COLUMN,5:20:54 PM,close	fire				,5,4,0,0,0,close,5,F,11,674.919,12.966
COLUMN,5:20:57 PM,federal	where	start	current		,7,5,5,7,0,start,5,T,4,524.046,336.101
COLUMN,5:21:01 PM,make	store	small			,4,5,5,0,0,store,5,T,6,1326.328,284.238
COLUMN,5:21:06 PM,suggest	century				,7,7,0,0,0,suggest,7,T,4,-213.428,822.278
COLUMN,5:21:09 PM,pretty					,6,0,0,0,0,pretty,6,T,0,-2159.267,2628.694
COLUMN,5:21:13 PM,couple	fine	order			,6,4,5,0,0,fine,4,T,4,379.984,324.133
COLUMN,5:21:17 PM,money	poor	century			,5,4,7,0,0,money,5,T,4,680.712,202.322
COLUMN,5:21:20 PM,cell	they				,4,4,0,0,0,cell,4,T,4,-1786.679,2362.140
COLUMN,5:21:24 PM,kill	responsibility	pretty	table		,4,14,6,5,0,pretty,6,T,2,589.423,292.081
COLUMN,5:21:28 PM,front					,5,0,0,0,0,front,5,T,2,79.799,486.619
COLUMN,5:21:32 PM,billion	consider	attack			,7,8,6,0,0,billion,7,T,7,-1352.254,1844.936
COLUMN,5:21:35 PM,tonight	give				,7,4,0,0,0,tonight,7,T,2,-1955.476,2349.296
COLUMN,5:21:38 PM,body	kill				,4,4,0,0,0,body,4,T,0,-1898.498,2221.934
COLUMN,5:21:42 PM,argue					,5,0,0,0,0,argue,5,T,2,-2045.117,2450.032
COLUMN,5:21:45 PM,thought	whom	world	factor		,7,4,5,6,0,whom,4,T,4,333.108,656.069
COLUMN,5:21:49 PM,patient	environment	onto	direction		,7,11,4,9,0,environment,11,T,1,404.910,302.193
COLUMN,5:21:53 PM,family	ready	sport			,6,5,5,0,0,family,6,T,2,-1921.029,2349.395
COLUMN,5:21:56 PM,development					,11,0,0,0,0,development,11,T,0,-1952.710,2385.630
COLUMN,5:22:00 PM,experience	effort	write			,10,6,5,0,0,experience,10,T,3,-1664.065,2137.442
COLUMN,5:22:03 PM,laugh					,5,0,0,0,0,laugh,5,T,0,-2760.845,3135.466
COLUMN,5:22:07 PM,require					,7,0,0,0,0,require,7,T,0,-1778.769,2194.170
COLUMN,5:22:10 PM,involve	effect				,7,6,0,0,0,involve,7,T,1,-2134.039,2538.959
COLUMN,5:22:14 PM,herself	drive	city			,7,5,4,0,0,drive,5,T,14,750.992,167.552
COLUMN,5:22:18 PM,could	condition				,5,9,0,0,0,could,5,T,0,-2781.405,3263.527
COLUMN,5:22:21 PM,always	even	form	sister		,6,4,4,6,0,even,4,T,3,392.950,470.741
COLUMN,5:22:25 PM,say	blue	himself	win		,3,4,7,3,0,say,3,T,0,-2726.418,3276.856
COLUMN,5:22:28 PM,sense	likely	believe	change		,5,6,7,6,0,sense,5,T,4,359.042,169.546
COLUMN,5:22:32 PM,much	whatever				,4,8,0,0,0,much,4,T,2,-968.820,1440.559
COLUMN,5:22:35 PM,mean	represent	friend			,4,9,6,0,0,represent,9,T,2,790.889,317.153
COLUMN,6:48:21 PM,seek	choice	worker			,4,6,6,0,0,choice,6,T,6,2437.180,580.132
COLUMN,6:48:34 PM,many	pressure	bar			,4,8,3,0,0,many,4,T,6,10448.432,636.704
COLUMN,6:48:48 PM,purpose	agency	seem			,7,6,4,0,0,purpose,7,T,1,1574.783,517.955
COLUMN,6:48:53 PM,plan	capital	information			,4,7,11,0,0,plan,4,T,1,-681.846,1368.032
COLUMN,6:48:57 PM,consumer	while	interest	bit		,8,5,8,3,0,while,5,T,3,515.622,452.530
COLUMN,6:49:01 PM,all	industry	common			,3,8,6,0,0,all,3,T,1,-1868.776,2429.063
COLUMN,6:49:04 PM,kid	computer				,3,8,0,0,0,kid,3,T,0,-2255.873,2829.884
COLUMN,6:49:08 PM,home	period	job			,4,6,3,0,0,home,4,T,3,-1287.291,1845.796
COLUMN,6:49:12 PM,road	pretty				,4,6,0,0,0,road,4,T,1,-1180.345,1774.074
COLUMN,6:49:15 PM,remove	play	bank			,6,4,4,0,0,remove,6,T,1,-1047.481,1588.035
COLUMN,6:49:19 PM,feel	night				,4,5,0,0,0,feel,4,T,6,383.973,707.153
COLUMN,6:49:23 PM,find	feeling				,4,7,0,0,0,find,4,T,0,-1374.913,1912.697
COLUMN,6:49:26 PM,only	give	case	turn		,4,4,4,4,0,case,4,T,1,482.710,401.670
COLUMN,6:49:30 PM,above	dark				,5,4,0,0,0,above,5,T,1,-1646.022,2175.258
COLUMN,6:49:34 PM,lose	it	statement	staff		,4,2,9,5,0,statement,9,T,1,390.956,446.805
COLUMN,6:49:38 PM,occur	great				,5,5,0,0,0,occur,5,T,2,-1912.033,2660.116
COLUMN,6:49:41 PM,very	enjoy	find	institution		,4,5,4,11,0,enjoy,5,T,1,1032.256,380.276
COLUMN,6:49:46 PM,all	others	senior			,3,6,6,0,0,all,3,T,5,1719.917,605.384
COLUMN,6:49:51 PM,often					,5,0,0,0,0,often,5,T,1,-2023.327,2543.169
COLUMN,6:49:55 PM,investment	action	likely			,10,6,6,0,0,investment,10,T,2,-925.065,1421.272
COLUMN,6:49:58 PM,threat	line	particularly	they		,6,4,12,4,0,threat,6,T,2,2053.847,494.969
COLUMN,6:50:04 PM,know	later	center			,4,5,6,0,0,know,4,T,1,4761.393,413.895
COLUMN,6:50:12 PM,American	energy	similar			,8,6,7,0,0,energy,6,T,6,1981.873,445.229
COLUMN,6:50:17 PM,population					,10,0,0,0,0,population,10,T,1,-1643.205,3286.019
COLUMN,6:50:22 PM,continue	character				,8,9,0,0,0,continue,8,T,0,1803.472,579.452
COLUMN,6:50:28 PM,successful	learn	within			,10,5,6,0,0,successful,10,T,1,-678.186,1252.094
COLUMN,6:50:31 PM,study					,5,0,0,0,0,study,5,T,1,-1408.059,1891.765
COLUMN,6:50:35 PM,office	forward	think			,6,7,5,0,0,forward,7,T,4,1439.178,471.743
COLUMN,6:50:40 PM,no					,2,0,0,0,0,no,2,T,2,-1068.713,1530.734
COLUMN,6:50:43 PM,his					,3,0,0,0,0,his,3,T,0,-2243.745,2758.297
COLUMN,6:50:47 PM,behavior					,8,0,0,0,0,behavior,8,T,1,-1904.486,2397.170
COLUMN,6:50:50 PM,support	do	party	one		,7,2,5,3,0,party,5,T,4,941.658,582.980
COLUMN,6:50:55 PM,big					,3,0,0,0,0,big,3,T,1,-2178.169,2718.723
COLUMN,6:50:58 PM,project	tonight	fly			,7,7,3,0,0,project,7,T,1,-2234.948,3007.206
COLUMN,6:51:02 PM,open	sex	say	nature		,4,3,3,6,0,sex,3,T,5,592.929,604.570
COLUMN,6:51:06 PM,dinner	fight				,6,5,0,0,0,dinner,6,T,1,-2391.214,3297.684
COLUMN,6:51:10 PM,identify	six	perform			,8,3,7,0,0,identify,8,T,0,-2111.892,2664.399
COLUMN,6:51:14 PM,change					,6,0,0,0,0,change,6,T,2,-1973.879,2491.011
COLUMN,6:51:17 PM,rate	summer	major			,4,6,5,0,0,summer,6,T,4,1495.268,498.017
COLUMN,6:51:22 PM,score	society	first	dog		,5,7,5,3,0,first,5,T,5,474.032,601.390
COLUMN,6:51:26 PM,car	around				,3,6,0,0,0,car,3,T,0,-2310.858,2850.582
COLUMN,6:51:30 PM,some	seat	work	require		,4,4,4,7,0,work,4,T,2,918.415,439.823
COLUMN,6:51:34 PM,soon					,4,0,0,0,0,soon,4,T,2,514.171,202.457
COLUMN,6:51:38 PM,call					,4,0,0,0,0,call,4,T,0,3040.915,570.882
COLUMN,6:51:45 PM,eye	indeed				,3,6,0,0,0,eye,3,T,1,302.193,436.810
COLUMN,6:51:48 PM,program	hold	wall	everyone		,7,4,4,8,0,wall,4,T,5,814.766,391.939
COLUMN,6:51:53 PM,sport	board	season	rich		,5,5,6,4,0,sport,5,T,1,-411.637,1256.575
COLUMN,6:51:56 PM,short	story				,5,5,0,0,0,short,5,T,2,-1007.429,1654.453
COLUMN,6:52:00 PM,learn	move	provide			,5,4,7,0,0,move,4,T,3,870.022,450.794
COLUMN,6:52:04 PM,blue	animal				,4,6,0,0,0,blue,4,T,1,212.432,463.167
COLUMN,Saturday, May 30, 2020-6:55:20 PM,range	art	college			,5,3,7,0,0,art,3,T,3,1307.689,347.056
COLUMN,Saturday, May 30, 2020-6:55:25 PM,million	water	put	hand		,7,5,3,4,0,water,5,T,2,490.233,424.974
COLUMN,Saturday, May 30, 2020-6:55:29 PM,determine					,9,0,0,0,0,determine,9,T,0,22.940,426.746
COLUMN,Saturday, May 30, 2020-6:55:32 PM,arrive					,6,0,0,0,0,arrive,6,T,0,34.906,449.798
COLUMN,Saturday, May 30, 2020-6:55:36 PM,own	way	minute	remember		,3,3,6,8,0,way,3,T,2,426.452,408.987
COLUMN,Saturday, May 30, 2020-6:55:40 PM,north	late	prevent	president		,5,4,7,9,0,late,4,T,2,686.208,420.874
COLUMN,Saturday, May 30, 2020-6:55:44 PM,baby	interest				,4,8,0,0,0,baby,4,T,1,101.719,483.795
COLUMN,Saturday, May 30, 2020-6:55:47 PM,particular	time				,10,4,0,0,0,particular,10,T,2,23.934,450.442
COLUMN,Saturday, May 30, 2020-6:55:51 PM,far	visit				,3,5,0,0,0,far,3,T,1,11.966,561.104
COLUMN,Saturday, May 30, 2020-6:55:54 PM,street	forward	maintain	beyond		,6,7,8,6,0,maintain,8,T,2,916.748,195.480
COLUMN,Saturday, May 30, 2020-6:55:58 PM,parent	week	much			,6,4,4,0,0,week,4,T,6,1696.071,484.596
COLUMN,Saturday, May 30, 2020-6:56:04 PM,contain	myself				,7,6,0,0,0,contain,7,T,3,14.946,838.757
COLUMN,Saturday, May 30, 2020-6:56:08 PM,all	level	activity			,3,5,8,0,0,level,5,T,3,289.904,427.470
COLUMN,Saturday, May 30, 2020-6:56:11 PM,structure	option				,9,6,0,0,0,structure,9,T,1,13.962,565.006
COLUMN,Saturday, May 30, 2020-6:56:15 PM,century	me	fast			,7,2,4,0,0,century,7,T,1,11.969,562.495
COLUMN,Saturday, May 30, 2020-6:56:18 PM,financial	go				,9,2,0,0,0,financial,9,T,1,11.976,484.205
COLUMN,Saturday, May 30, 2020-6:56:22 PM,model	worker	TV			,5,6,2,0,0,model,5,T,4,1812.727,772.444
COLUMN,Saturday, May 30, 2020-6:56:28 PM,represent					,9,0,0,0,0,represent,9,T,1,11.969,506.658
COLUMN,Saturday, May 30, 2020-6:56:31 PM,we	pass	develop			,2,4,7,0,0,pass,4,T,3,358.042,435.741
COLUMN,Saturday, May 30, 2020-6:56:35 PM,thing	role	meet			,5,4,4,0,0,thing,5,T,0,34.909,595.363
COLUMN,Saturday, May 30, 2020-6:56:39 PM,collection	myself				,10,6,0,0,0,collection,10,T,2,24.945,559.293
COLUMN,Saturday, May 30, 2020-6:56:42 PM,lie					,3,0,0,0,0,lie,3,T,2,65.824,461.765
COLUMN,Saturday, May 30, 2020-6:56:46 PM,grow	wish				,4,4,0,0,0,grow,4,T,0,10.973,471.735
COLUMN,Saturday, May 30, 2020-6:56:49 PM,than	enjoy				,4,5,0,0,0,than,4,T,1,67.819,538.989
COLUMN,Saturday, May 30, 2020-6:56:53 PM,any	enjoy	rate	they		,3,5,4,4,0,rate,4,T,2,598.217,468.746
COLUMN,Saturday, May 30, 2020-6:56:57 PM,order					,5,0,0,0,0,order,5,T,0,13.963,506.646
COLUMN,Saturday, May 30, 2020-6:57:00 PM,feel	street	rich			,4,6,4,0,0,street,6,T,2,1207.407,470.771
COLUMN,Saturday, May 30, 2020-6:57:05 PM,time					,4,0,0,0,0,time,4,T,2,34.907,519.610
COLUMN,Saturday, May 30, 2020-6:57:09 PM,arrive	event	law			,6,5,3,0,0,event,5,T,4,1108.073,415.873
COLUMN,Saturday, May 30, 2020-6:57:13 PM,fall					,4,0,0,0,0,fall,4,T,1,11.967,530.734
COLUMN,Saturday, May 30, 2020-6:57:17 PM,forward	later	cold			,7,5,4,0,0,later,5,T,3,873.785,392.459
COLUMN,Saturday, May 30, 2020-6:57:21 PM,receive	life	finger	ahead		,7,4,6,5,0,receive,7,F,3,464.101,152.591
COLUMN,Saturday, May 30, 2020-6:57:25 PM,hot	west	seem			,3,4,4,0,0,west,4,T,1,873.664,374.998
COLUMN,Saturday, May 30, 2020-6:57:29 PM,attack	learn	stock			,6,5,5,0,0,learn,5,T,2,885.635,380.493
COLUMN,Saturday, May 30, 2020-6:57:33 PM,street					,6,0,0,0,0,street,6,T,1,12.965,740.882
COLUMN,Saturday, May 30, 2020-6:57:37 PM,out	high	food			,3,4,4,0,0,high,4,T,3,540.554,381.978
COLUMN,Saturday, May 30, 2020-6:57:41 PM,news	property				,4,8,0,0,0,news,4,T,1,23.935,683.890
COLUMN,Saturday- May 30- 2020-7:08:07 PM,outside	design	wish	patient		,7,6,4,7,0,patient,7,T,2,849.006,330.117
COLUMN,Saturday- May 30- 2020-7:08:11 PM,line	data	true	movement	church	,4,4,4,8,6,true,4,T,1,360.040,493.840
COLUMN,Saturday- May 30- 2020-7:08:15 PM,capital	station	defense	century	together	,7,7,7,7,8,station,7,T,1,369.890,494.435
COLUMN,Saturday- May 30- 2020-7:08:19 PM,food	four	probably	college	must	,4,4,8,7,4,must,4,T,4,892.617,338.318
COLUMN,Saturday- May 30- 2020-7:08:23 PM,ten	rule	may	pain	fast	,3,4,3,4,4,fast,4,T,4,1566.303,357.937
COLUMN,Saturday- May 30- 2020-7:08:28 PM,speak	few	require	several	hope	,5,3,7,7,4,few,3,F,2,446.084,263.489
COLUMN,Saturday- May 30- 2020-7:08:32 PM,spring	civil	late	certainly	and	,6,5,4,9,3,late,4,T,4,838.759,436.757
COLUMN,Saturday- May 30- 2020-7:08:36 PM,environment	speech	building	street	light	,11,6,8,6,5,building,8,T,2,447.803,483.526
COLUMN,Saturday- May 30- 2020-7:08:40 PM,choose	back	often	plant		,6,4,5,5,0,plant,5,T,3,691.096,314.743
COLUMN,Saturday- May 30- 2020-7:08:44 PM,important	ask	fact	hundred		,9,3,4,7,0,ask,3,T,2,137.633,625.326
COLUMN,Saturday- May 30- 2020-7:08:48 PM,note	war	that	whose	measure	,4,3,4,5,7,whose,5,T,5,574.122,458.075
COLUMN,Saturday- May 30- 2020-7:08:52 PM,statement					,9,0,0,0,0,statement,9,T,1,11.971,483.222
COLUMN,Saturday- May 30- 2020-7:08:56 PM,cut	provide	laugh	spend	yet	,3,7,5,5,3,laugh,5,T,4,504.653,397.148
COLUMN,Saturday- May 30- 2020-7:08:59 PM,tend	ahead	behavior	recognize	per	,4,5,8,9,3,behavior,8,T,2,357.245,425.864
COLUMN,Saturday- May 30- 2020-7:09:03 PM,help					,4,0,0,0,0,help,4,T,1,10.972,476.419
COLUMN,Saturday- May 30- 2020-7:09:07 PM,cancer					,6,0,0,0,0,cancer,6,T,0,35.420,403.918
COLUMN,Saturday- May 30- 2020-7:09:10 PM,after	legal				,5,5,0,0,0,legal,5,T,7,1004.523,530.582
COLUMN,Saturday- May 30- 2020-7:09:15 PM,once	kid	someone	identify	show	,4,3,7,8,4,show,4,T,6,859.701,325.868
COLUMN,Saturday- May 30- 2020-7:09:19 PM,patient	crime	politics	successful	sing	,7,5,8,10,4,politics,8,T,3,998.976,346.582
COLUMN,Saturday- May 30- 2020-7:09:23 PM,and	sign	exist	great	pattern	,3,4,5,5,7,exist,5,T,1,435.381,583.439
COLUMN,Saturday- May 30- 2020-7:09:27 PM,he	nation	brother	street	people	,2,6,7,6,6,street,6,T,2,631.316,411.144
COLUMN,Saturday- May 30- 2020-7:09:31 PM,sing	travel	add	against		,4,6,3,7,0,travel,6,T,3,844.359,367.019
COLUMN,Saturday- May 30- 2020-7:09:36 PM,effort	picture	bar	source	just	,6,7,3,6,4,picture,7,T,5,993.586,447.623
COLUMN,Saturday- May 30- 2020-7:09:40 PM,among	treat	matter	ten	laugh	,5,5,6,3,5,ten,3,T,4,584.555,402.924
COLUMN,Saturday- May 30- 2020-7:09:44 PM,great	but	culture	million	political	,5,3,7,7,9,but,3,T,5,3288.717,692.150
COLUMN,Saturday- May 30- 2020-7:09:51 PM,ever	able	community	boy	suggest	,4,4,9,3,7,able,4,T,3,952.474,469.744
COLUMN,Saturday- May 30- 2020-7:09:56 PM,though	want	consumer	grow	school	,6,4,8,4,6,want,4,T,2,447.802,471.833
COLUMN,Saturday- May 30- 2020-7:10:00 PM,fact	look	stay	box	matter	,4,4,4,3,6,look,4,T,7,3190.856,514.625
COLUMN,Saturday- May 30- 2020-7:10:06 PM,itself					,6,0,0,0,0,itself,6,T,1,56.848,591.660
COLUMN,Saturday- May 30- 2020-7:10:10 PM,boy	stop	heart	economic	walk	,3,4,5,8,4,walk,4,T,4,730.343,376.991
COLUMN,Saturday- May 30- 2020-7:10:14 PM,rock	stay	apply	along	line	,4,4,5,5,4,apply,5,T,7,1566.844,503.831
COLUMN,Saturday- May 30- 2020-7:10:19 PM,toward	wall				,6,4,0,0,0,wall,4,T,1,738.317,345.078
COLUMN,Saturday- May 30- 2020-7:10:23 PM,statement	situation	weight	concern	field	,9,9,6,7,5,concern,7,T,2,624.520,596.417
COLUMN,Saturday- May 30- 2020-7:10:28 PM,lose	certainly	brother	job	determine	,4,9,7,3,9,determine,9,T,4,883.431,358.323
COLUMN,Saturday- May 30- 2020-7:10:32 PM,reflect	dark	we	trial		,7,4,2,5,0,we,2,T,1,449.794,513.634
COLUMN,Saturday- May 30- 2020-7:10:36 PM,and	news	respond	can	already	,3,4,7,3,7,can,3,T,3,433.968,461.766
COLUMN,Saturday- May 30- 2020-7:10:40 PM,shoulder	material				,8,8,0,0,0,material,8,T,2,751.752,312.211
COLUMN,Saturday- May 30- 2020-7:10:44 PM,just					,4,0,0,0,0,just,4,T,2,21.940,550.122
COLUMN,Saturday- May 30- 2020-7:10:47 PM,much	build	our	box	realize	,4,5,3,3,7,realize,7,T,4,547.536,382.996
