Layout, Timestamp, Words,  word len 0, word len 1, word len 2, word len 3, word len 4, word count,  target index, target word, target word len,correct, history, gaze duration, tap duration
CIRCLE,Monday- June 1- 2020-1:20:02 AM,everyone	pattern	race	cup	music	,8,7,4,3,5,5,1,pattern,7,T,0,379.984,400.427
CIRCLE,Monday- June 1- 2020-1:20:06 AM,himself					,7,0,0,0,0,1,0,himself,7,T,0,337.847,159.573
CIRCLE,Monday- June 1- 2020-1:20:09 AM,well	discover	generation	find	wait	,4,8,10,4,4,5,3,find,4,T,0,301.195,393.119
CIRCLE,Monday- June 1- 2020-1:20:13 AM,even					,4,0,0,0,0,1,0,even,4,T,1,336.163,142.619
CIRCLE,Monday- June 1- 2020-1:20:16 AM,difference	effort	you	Republican	do	,10,6,3,10,2,5,4,do,2,T,2,695.139,249.333
CIRCLE,Monday- June 1- 2020-1:20:20 AM,improve	meet	wide	word	effort	,7,4,4,4,6,5,3,word,4,T,1,471.413,303.212
CIRCLE,Monday- June 1- 2020-1:20:24 AM,believe	green	your	dream	white	,7,5,4,5,5,5,3,dream,5,T,2,620.341,369.013
CIRCLE,Monday- June 1- 2020-1:20:28 AM,require	member	number	cold		,7,6,6,4,0,4,2,number,6,T,1,360.682,505.666
CIRCLE,Monday- June 1- 2020-1:20:32 AM,now	kid	people	shot	system	,3,3,6,4,6,5,3,shot,4,T,1,0.000,864.201
CIRCLE,Monday- June 1- 2020-1:20:36 AM,wait	administration	indeed	religious	song	,4,14,6,9,4,5,2,indeed,6,T,4,1574.991,461.766
CIRCLE,Monday- June 1- 2020-1:20:41 AM,gas	couple	heart	deal		,3,6,5,4,0,4,2,heart,5,T,3,357.185,450.050
CIRCLE,Monday- June 1- 2020-1:20:45 AM,as	main				,2,4,0,0,0,2,1,main,4,T,0,247.683,402.932
CIRCLE,Monday- June 1- 2020-1:20:49 AM,major	national	discover	arm		,5,8,8,3,0,4,2,discover,8,T,1,560.667,237.708
CIRCLE,Monday- June 1- 2020-1:20:52 AM,director	write	event	already	campaign	,8,5,5,7,8,5,4,campaign,8,T,3,482.957,306.182
CIRCLE,Monday- June 1- 2020-1:20:56 AM,reduce	decide	such	just	lot	,6,6,4,4,3,5,3,just,4,T,1,539.260,326.547
CIRCLE,Monday- June 1- 2020-1:21:00 AM,remain	wind	exactly	blood	ready	,6,4,7,5,5,5,3,blood,5,T,1,538.091,382.984
CIRCLE,Monday- June 1- 2020-1:21:04 AM,positive	laugh	shake	least	learn	,8,5,5,5,5,5,3,least,5,T,3,614.033,527.669
CIRCLE,Monday- June 1- 2020-1:21:08 AM,according	situation	music	TV	do	,9,9,5,2,2,5,1,situation,9,T,0,293.216,360.952
CIRCLE,Monday- June 1- 2020-1:21:12 AM,return	crime	measure			,6,5,7,0,0,3,2,measure,7,T,1,279.848,317.156
CIRCLE,Monday- June 1- 2020-1:21:16 AM,couple	remove	TV			,6,6,2,0,0,3,2,TV,2,T,0,326.136,325.123
CIRCLE,Monday- June 1- 2020-1:21:19 AM,a					,1,0,0,0,0,1,0,a,1,T,0,852.593,111.701
CIRCLE,Monday- June 1- 2020-1:21:23 AM,question	together				,8,8,0,0,0,2,1,together,8,T,0,310.959,295.211
CIRCLE,Monday- June 1- 2020-1:21:27 AM,degree					,6,0,0,0,0,1,0,degree,6,T,0,336.084,194.561
CIRCLE,Monday- June 1- 2020-1:21:30 AM,doctor	compare				,6,7,0,0,0,2,1,compare,7,T,1,292.218,268.583
CIRCLE,Monday- June 1- 2020-1:21:34 AM,along					,5,0,0,0,0,1,0,along,5,T,0,90.183,338.096
CIRCLE,Monday- June 1- 2020-1:21:37 AM,development	education	yard	both		,11,9,4,4,0,4,1,education,9,T,1,370.011,337.105
CIRCLE,Monday- June 1- 2020-1:21:41 AM,and					,3,0,0,0,0,1,0,and,3,T,0,90.757,428.118
CIRCLE,Monday- June 1- 2020-1:21:45 AM,memory	suddenly	shot	particularly	entire	,6,8,4,12,6,5,1,suddenly,8,T,2,291.731,292.217
CIRCLE,Monday- June 1- 2020-1:21:48 AM,deep					,4,0,0,0,0,1,0,deep,4,T,0,324.887,169.578
CIRCLE,Monday- June 1- 2020-1:21:52 AM,young	appear	green	it	expect	,5,6,5,2,6,5,4,expect,6,F,1,280.758,1098.717
CIRCLE,Monday- June 1- 2020-1:21:56 AM,give	really	education	size	actually	,4,6,9,4,8,5,1,really,6,T,1,760.495,35.904
CIRCLE,Monday- June 1- 2020-1:22:00 AM,network	successful	create	important		,7,10,6,9,0,4,1,successful,10,T,1,447.806,239.080
CIRCLE,Monday- June 1- 2020-1:22:04 AM,represent					,9,0,0,0,0,1,0,represent,9,T,0,100.730,383.752
CIRCLE,Monday- June 1- 2020-1:22:07 AM,save	establish	purpose	company	pass	,4,9,7,7,4,5,1,establish,9,T,2,246.347,361.510
CIRCLE,Monday- June 1- 2020-1:22:11 AM,back	person	others	ready	good	,4,6,6,5,4,5,2,others,6,T,1,258.309,369.013
CIRCLE,Monday- June 1- 2020-1:22:15 AM,their	sign	be	indeed		,5,4,2,6,0,4,1,sign,4,T,2,436.765,160.570
CIRCLE,Monday- June 1- 2020-1:22:18 AM,language	amount	necessary	usually	eat	,8,6,9,7,3,5,3,usually,7,T,4,995.323,338.702
CIRCLE,Monday- June 1- 2020-1:29:50 AM,laugh	clear	probably			,5,5,8,0,0,3,2,probably,8,T,2,606.378,309.173
CIRCLE,Monday- June 1- 2020-1:29:54 AM,white	ago	person	opportunity	wife	,5,3,6,11,4,5,1,ago,3,T,1,268.019,317.201
CIRCLE,Monday- June 1- 2020-1:29:58 AM,course	her				,6,3,0,0,0,2,1,her,3,T,0,478.720,261.301
CIRCLE,Monday- June 1- 2020-1:30:01 AM,instead	pick	cover	drive	manager	,7,4,5,5,7,5,2,cover,5,T,1,349.066,369.231
CIRCLE,Monday- June 1- 2020-1:30:05 AM,never	difference	kitchen	player	newspaper	,5,10,7,6,9,5,2,kitchen,7,T,1,303.617,347.399
CIRCLE,Monday- June 1- 2020-1:30:09 AM,kitchen					,7,0,0,0,0,1,0,kitchen,7,T,0,91.451,359.039
CIRCLE,Monday- June 1- 2020-1:30:12 AM,really					,6,0,0,0,0,1,0,really,6,T,0,90.758,347.072
CIRCLE,Monday- June 1- 2020-1:30:16 AM,environmental	death	decide	as	financial	,13,5,6,2,9,5,4,financial,9,T,2,560.352,215.020
CIRCLE,Monday- June 1- 2020-1:30:20 AM,left	onto	another	case		,4,4,7,4,0,4,2,another,7,T,1,279.826,314.160
CIRCLE,Monday- June 1- 2020-1:30:23 AM,writer	those	wife	apply	design	,6,5,4,5,6,5,4,design,6,T,2,536.844,237.604
CIRCLE,Monday- June 1- 2020-1:30:27 AM,happy					,5,0,0,0,0,1,0,happy,5,T,0,380.982,68.816
CIRCLE,Monday- June 1- 2020-1:30:31 AM,talk	drive				,4,5,0,0,0,2,1,drive,5,T,0,268.280,271.275
CIRCLE,Monday- June 1- 2020-1:30:34 AM,value	firm	father	popular	region	,5,4,6,7,6,5,3,popular,7,T,2,583.542,249.520
CIRCLE,Monday- June 1- 2020-1:30:38 AM,join	late	among	prevent	will	,4,4,5,7,4,5,3,prevent,7,T,0,403.942,303.190
CIRCLE,Monday- June 1- 2020-1:30:42 AM,quickly	strong	before	leader	worry	,7,6,6,6,5,5,3,leader,6,T,0,513.626,205.597
