A,0.144163113064236,0.104598693847656
S,0.143747965494792,0.0777921993371212
D,0.145204861111111,0.0843737060546875
F,0.147640909830729,0.0806429290771484
Space,0.156656692504883,0.0491718702129289
K,0.129262805175781,0.1492177734375
J,0.133011461759868,0.107118275960286
L,0.138586734169408,0.129230492001488
Semicolon,0.140669040256076,0.118353515625
Space,0.139092979029605,0.124052629743304
pair, MTsameside
af,86.13497,
rev-af,168.83324
;j,75.9553428571429,
rev-;j,98.4076466666666
as,83.8048230769231,
rev-as,122.151525
;l,77.486875,
rev-;l,138.988916666667
sd,96.4278692307692,
rev-sd,107.167966666667
lk,92.2397923076923,
rev-lk,106.836769230769
ad,78.9162923076923,
rev-ad,114.138930769231
;k,79.2605923076923,
rev-;k,119.560284615385
sf,85.6855866666667,
rev-sf,90.0782785714286
lj,88.0745214285714,
rev-lj,99.2604076923077
df,84.0740571428571,
rev-df,98.3329571428571
kj,86.9456769230769,
rev-kj,100.072142857143
